Ref,Val,Package,PosX,PosY,Rot,Side
"J1","BM10B-SRSS-TB(LF)(SN)","BM10B-SRSS-TB(LF)(SN)",-50.040791,-87.378169,180.000000,bottom
"J1","BM10B-SRSS-TB(LF)(SN)","BM10B-SRSS-TB(LF)(SN)",-50.040791,-37.078161,180.000000,bottom
"REF**","Fiducial","Fiducial",-26.300990,-127.451004,0.000000,bottom
"REF**","Fiducial","Fiducial",-26.300990,-22.848996,0.000000,bottom
"REF**","Fiducial","Fiducial",-73.698999,-22.848996,0.000000,bottom
